'ICD-9-CM CODE','ICD-9-CM CODE DESCRIPTION','CATEGORY ASSIGNMENT'
'3774',INT OR REPL LEAD EPICAR (Begin 1987),4
'3775',REVISION OF LEAD (Begin 1987),4
'3776',REPL TV ATRIVENT LEAD (Begin 1987),4
'3777',REMOVAL OF LEAD W/O REPL (Begin 1987),4
'3778',INSER TEMP PACEMAKER SYS (Begin 1987),2
'3779',REVIS OR RELOCATE POCKET (Begin 1987),4
'3780',INT OR REPL PERM PACEMKR (Begin 1987),4
'3781',INT INSERT 1CHAM NON (Begin 1987),2
'3782',INT INSERT 1CHAM RATE (Begin 1987),2
'3783',INT INSERT DUALCHAM DEV (Begin 1987),2
'3785',REPL PACEM W 1CHAM NON (Begin 1987),4
'3786',REPL PACEM 1CHAM RATE (Begin 1987),4
'3787',REPL PACEM W DUALCHAM (Begin 1987),4
'3789',REVISE OR REMOVE PACEMAK (Begin 1987),4
'3790',INS LEFT ATR APPEND DEV (Begin 2004),2
'3791',OPN CHEST CARDIAC MASSAG,4
'3792',INJECTION INTO HEART,2
'3793',INJECTION INTO PERICARD,2
'3794',IMPLT/REPL CARDDEFIB TOT (Begin 1986),4
'3795',IMPLT CARDIODEFIB LEADS (Begin 1986),4
'3796',IMPLT CARDIODEFIB GENATR (Begin 1986),4
'3797',REPL CARDIODEFIB LEADS (Begin 1986),4
'3798',REPL CARDIODEFIB GENRATR (Begin 1986),4
'3799',OTHER HEART/PERICARD OPS,4
'3800',INCISION OF VESSEL NOS,4
'3801',INTRACRAN VESSEL INCIS,4
'3802',HEAD/NECK VES INCIS NEC,4
'3803',UPPER LIMB VESSEL INCIS,4
'3804',INCISION OF AORTA,4
'3805',THORACIC VESSEL INC NEC,4
'3806',ABDOMEN ARTERY INCISION,4
'3807',ABDOMINAL VEIN INCISION,4
'3808',EMBOLECTOMY LEG VESSEL,4
'3809',LOWER LIMB VEIN INCISION,4
'3810',ENDARTERECTOMY NOS,4
'3811',INTRACRAN ENDARTERECTOMY,4
'3812',HEAD & NECK ENDARTER NEC,4
'3813',UPPER LIMB ENDARTERECTOM,4
'3814',ENDARTERECTOMY OF AORTA,4
'3815',THORACIC ENDARTERECTOMY,4
'3816',ABDOMINAL ENDARTERECTOMY,4
'3818',ENDARTERECTOMY LEG VESL,4
'3821',BLOOD VESSEL BIOPSY,3
'3822',PERCUTANEOUS ANGIOSCOPY (Begin 1986),1
'3823',INTRAVASCLR SPECTROSCOPY (begin 2008),1
'3824',Intravas img cor ves OCT (begin 2009),1
'3825',Intravas img non-cor OCT (begin 2009),1
'3826',INSRT PRSR SNSR W/O LEAD (Begin 2011),4
'3829',BLOOD VESSEL DX PROC NEC,3
'3830',VESSEL RESECT/ANAST NOS,4
'3831',INTRACRAN VES RESECANAS,4
'3832',HEAD/NECK VES RESECANAS,4
'3833',ARM VESSEL RESECT/ANAST,4
'3834',AORTA RESECTION & ANAST,4
'3835',THOR VESSEL RESECT/ANAST,4
'3836',ABD VESSEL RESECT/ANAST,4
'3837',ABD VEIN RESECT & ANAST,4
'3838',LEG ARTERY RESECT/ANAST,4
'3839',LEG VEIN RESECT/ANASTOM,4
'3840',VESSEL RESECT/REPLAC NOS,4
'3841',INTRACRAN VES RESECREPL,4
'3842',HEAD/NECK VES RESECREPL,4
'3843',ARM VES RESECT W REPLACE,4
'3844',RESECT ABDM AORTA W REPL (Begin 1986),4
'3845',RESECT THORAC VES W REPL (Begin 1986),4
'3846',ABD ARTERY RESEC W REPLA,4
'3847',ABD VEIN RESECT W REPLAC,4
'3848',LEG ARTERY RESEC W REPLA,4
'3849',LEG VEIN RESECT W REPLAC,4
'3850',VARICOSE V LIGSTRIP NOS,4
'3851',INTCRAN VAR V LIGSTRIP,4
'3852',HEAD/NECK VAR V LIGSTR,4
'3853',ARM VARICOSE V LIGSTRIP,4
'3855',THORAC VAR V LIGSTRIP,4
'3857',ABD VARICOS V LIGASTRIP,4
'3859',LEG VARICOS V LIGASTRIP,4
'3860',EXCISION OF VESSEL NOS,4
'3861',INTRACRAN VESSEL EXCIS,4
'3862',HEAD/NECK VESSEL EXCIS,4
'3863',ARM VESSEL EXCISION,4
'3864',EXCISION OF AORTA,4
'3865',THORACIC VESSEL EXCISION,4
'3866',ABDOMINAL ARTERY EXCIS,4
'3867',ABDOMINAL VEIN EXCISION,4
'3868',LEG ARTERY EXCISION,4
'3869',LEG VEIN EXCISION,4
'387 ',INTERRUPTION VENA CAVA,4
'3880',SURG VESSEL OCCLUS NEC,4
'3881',OCCLUS INTRACRAN VES NEC,4
'3882',OCCLUS HEAD/NECK VES NEC,4
'3883',OCCLUDE ARM VESSEL NEC,4
'3884',OCCLUDE AORTA NEC,4
'3885',OCCLUDE THORACIC VES NEC,4
'3886',OCCLUDE ABD ARTERY NEC,4
'3887',OCCLUDE ABD VEIN NEC,4
'3888',OCCLUDE LEG ARTERY NEC,4
'3889',OCCLUDE LEG VEIN NEC,4
'3891',ARTERIAL CATHETERIZATION,2
'3892',UMBILICAL VEIN CATH,2
'3893',OTHER VENOUS CATH (NEC) (Begin 1980),2
'3894',VENOUS CUTDOWN,2
'3895',VEN CATH RENAL DIALYSIS (Begin 1989),2
'3897',CV CATH PLCMT W GUIDANCE (Begin 2010),2
'3898',ARTERIAL PUNCTURE NEC,2
'3899',VENOUS PUNCTURE NEC,2
'390 ',SYSTEMICPULM ART SHUNT,4
'391 ',INTRAABD VENOUS SHUNT,4
'3921',CAVALPULMON ART ANASTOM,4
'3922',AORTASUBCLVCAROT BYPAS,4
'3923',INTRATHORACIC SHUNT NEC,4
'3924',AORTARENAL BYPASS,4
'3925',AORTAILIACFEMOR BYPASS,4
'3926',INTRAABDOMIN SHUNT NEC,4
'3927',DIALYSIS ARTERIOVENOSTOM,4
'3928',EXTRACRANINTRACR BYPASS(Begin 1991),4
'3929',VASC SHUNT & BYPASS NEC,4
'3930',SUTURE OF VESSEL NOS,4
'3931',SUTURE OF ARTERY,4
'3932',SUTURE OF VEIN,4
'3941',POSTOP VASC OP HEM CONTR,4
'3942',REVIS REN DIALYSIS SHUNT,4
'3943',REMOV REN DIALYSIS SHUNT,4
'3949',VASC PROC REVISION NEC,4
'3950',ANGIOPLAST/ATHERECT (Begin 1995),4
'3951',CLIPPING OF ANEURYSM,4
'3952',ANEURYSM REPAIR NEC,4
'3953',ARTERIOVEN FISTULA REP,4
'3954',REENTRY OPERATION,4
'3955',REIMPLAN ABERR RENAL VES,4
'3956',REPAIR VESS W TIS PATCH,4
'3957',REP VESS W SYNTH PATCH,4
'3958',REPAIR VESS W PATCH NOS,4
'3959',REPAIR OF VESSEL NEC,4
'3961',EXTRACORPOREAL CIRCULAT,2
'3962',HYPOTHERMIA W OPEN HEART,2
'3963',CARDIOPLEGIA,2
'3964',INTRAOP CARDIAC PACEMAK,2
'3965',EXTRACORPOREAL MEMB OXY (Begin 1988),4
'3966',PER CARDIOPULMON BYPASS (Begin 1990),2
'397 ',PERIARTER SYMPATHECTOMY,4
'3971',ENDOVASCULAR IMPLANT IN ABDM (Begin 2000),4
'3972',ENDOVAS REPAIR/OCCL HEAD & N (Begin 2002),4
'3973',ENDO IMP GRFT THOR AORTA (Begin 2005),4
'3974',ENDO REM OBS HD/NECK VES (Begin 2006),4
'3975',Endo emb hd/nkbare coil (begin 2009),4
'3976',Endo em hd/nkbioac coil (begin 2009),4
'3977',TEMP ENDOVSC OCCLS VESSL (Begin 2011),4
'3978',ENDOVAS IMPLN GRFT AORTA (Begin 2011),4
'3979',OTHER ENDOVASCULAR REPAIR (Begin 2000),4
'398 ',VASCULAR BODY OPERATIONS (end 2010),4
'3981',IMP CRTD SINUS STMTOTL (Begin 2010),4
'3982',IMP/REP CRTD SINUS LEAD (Begin 2010),4
'3983',IMP/REP CRTD SINUS GNRTR (Begin 2010),4
'3984',REV CRTD SINUS STM LEADS (Begin 2010),4
'3985',REV CRTD SINUS PULSE GEN (Begin 2010),4
'3986',REM CRTD SINUS STM TOTL (Begin 2010),4
'3987',REM CRTD SINUS STM LEAD (Begin 2010),4
'3988',REM CRTD SINUS PULSE GEN (Begin 2010),4
'3989',OTH CARTD BODY/SINUS OP (Begin 2010),4
'3990',INSERT NONCOR ART STENT (Begin 1996),2
'3991',FREEING OF VESSEL,4
'3992',VEIN INJECTSCLEROS AGNT,4
'3993',INSERT VESTOVES CANNUL,4
'3994',REPLAC VESTOVES CANNUL,4
'3995',HEMODIALYSIS,2
'3996',TOTAL BODY PERFUSION,2
'3997',OTHER PERFUSION,2
'3998',HEMORRHAGE CONTROL NOS,4
'3999',VESSEL OPERATION NEC,4
'400 ',INCIS LYMPHATIC STRUCTUR,4
'4011',LYMPHATIC STRUCT BIOPSY,3
'4019',LYMPHATIC DIAG PROC NEC,3
'4021',EXCIS DEEP CERVICAL NODE,4
'4022',EXCISE INT MAMMARY NODE,4
'4023',EXCISE AXILLARY NODE,4
'4024',EXCISE INGUINAL NODE,4
'4029',SIMP EXC LYMPH STRUC NEC,4
'403 ',REGIONAL LYMPH NODE EXC,4
'4040',RAD NECK DISSECTION NOS,4
'4041',UNILAT RAD NECK DISSECT,4
'4042',BILAT RAD NECK DISSECT,4
'4050',RAD NODE DISSECTION NOS,4
'4051',RAD DISSEC AXILLARY NODE,4
'4052',RAD DISSEC PERIAORT NODE,4
'4053',RAD DISSECT ILIAC NODES,4
'4054',RADICAL GROIN DISSECTION,4
'4059',RAD NODE DISSECTION NEC,4
'4061',THORAC DUCT CANNULATION,4
'4062',THORACIC DUCT FISTULIZAT,4
'4063',CLOSE THORACIC DUCT FIST,4
'4064',LIGATE THORACIC DUCT,4
'4069',THORACIC DUCT OP NEC,4
'409 ',LYMPH STRUCTURE OP NEC,4
'410 ',BONE MARROW TRNSPLNT (Begin 1980 End 1988),4
'4100',BONE MARROW TRNSPLNT NOS (Begin 1988),4
'4101',AUT BONE MARROW TRNSPLNT (Begin 1988),4
'4102',ALO BONE MARROW TRNSPLNT (Begin 1988),4
'4103',ALLOGRFT BONE MARROW NOS (Begin 1988),4
'4104',AUTOL HEMATOPO STEM CELL TRA (Begin 1994),4
'4105',ALLOGEN HEMATO STEM CELL TRA (Begin 1997),4
'4106',CORD BLOOD STEM CELL TRANS (Begin 1997),4
'4107',AUTOL HEMAT STEM CELL TRANS (Begin 2000),4
'4108',ALLOGEN HEMAT STEM CELL TRAN (Begin 2000),4
'4109',AUTOL BONE MARROW TRANS W/PU (Begin 2000),4
'411 ',PUNCTURE OF SPLEEN,2
'412 ',SPLENOTOMY,4
'4131',BONE MARROW BIOPSY,1
'4132',CLOSED SPLEEN BIOPSY,1
'4133',OPEN SPLEEN BIOPSY,3
'4138',MARROW DIAGNOST PROC NEC,1
'4139',SPLEEN DIAGNOST PROC NEC,1
'4141',SPLENIC CYST MARSUPIAL,4
'4142',EXC SPLENIC LESION/TISS,4
'4143',PARTIAL SPLENECTOMY,4
'415 ',TOTAL SPLENECTOMY,4
'4191',DONOR MARROW ASPIRATION,2
'4192',INJECTION INTO MARROW,2
'4193',EXC OF ACCESSORY SPLEEN,4
'4194',SPLEEN TRANSPLANTATION,4
'4195',REPAIR OF SPLEEN,4
'4198',BONE MARROW OPS NEC,2
'4199',SPLEEN OPERATION NEC,4
'4201',ESOPHAGEAL WEB INCISION,4
'4209',ESOPHAGEAL INCISION NEC,4
'4210',ESOPHAGOSTOMY NOS,4
'4211',CERVICAL ESOPHAGOSTOMY,4
'4212',ESOPH POUCH EXTERIORIZAT,4
'4219',EXT FISTULIZAT ESOPH NEC,4
'4221',ESOPHAGOSCOPY BY INCIS,3
'4222',ESOPHAGOSCOPY THRU STOMA,1
'4223',ESOPHAGOSCOPY NEC,1
'4224',(CLOSED) BX OF ESOPHAGUS (Begin 1980),1
'4225',OPEN BIOPSY OF ESOPHAGUS (Begin 1988),3
'4229',ESOPHAGEAL DX PROC NEC,1
'4231',LOC EXCIS ESOPH DIVERTIC,4
'4232',LOCAL EXCIS ESOPHAG NEC,4
'4233',ENDOSC DESTRUC ESOPH LES (Begin 1989),2
'4239',DESTRUCT ESOPHAG LES NEC,4
'4240',ESOPHAGECTOMY NOS,4
'4241',PARTIAL ESOPHAGECTOMY,4
'4242',TOTAL ESOPHAGECTOMY,4
'4251',THORAC ESOPHAGOESOPHAGOS,4
'4252',THORAC ESOPHAGOGASTROST,4
'4253',THORAC SM BOWEL INTERPOS,4
'4254',THORAC ESOPHAGOENTER NEC,4
'4255',THORAC LG BOWEL INTERPOS,4
'4256',THORAC ESOPHAGOCOLOS NEC,4
'4258',THORAC INTERPOSITION NEC,4
'4259',THORAC ESOPHAG ANAST NEC,4
'4261',STERN ESOPHAGOESOPHAGOST,4
'4262',STERN ESOPHAGOGASTROSTOM,4
'4263',STERN SM BOWEL INTERPOS,4
'4264',STERN ESOPHAGOENTER NEC,4
'4265',STERN LG BOWEL INTERPOS,4
'4266',STERN ESOPHAGOCOLOS NEC,4
'4268',STERN INTERPOSITION NEC,4
'4269',STERN ESOPHAG ANAST NEC,4
'427 ',ESOPHAGOMYOTOMY,4
'4281',INSERT PERM TUBE ESOPHAG,2
'4282',SUTURE ESOPHAGEAL LACER,4
'4283',ESOPHAGOSTOMY CLOSURE,4
'4284',ESOPH FISTULA REPAIR NEC,4
'4285',ESOPHAG STRICTURE REPAIR,4
'4286',PROD SUBQ TUNNEL NO ANAS,4
'4287',ESOPHAGEAL GRAFT NEC,4
'4289',ESOPHAGEAL REPAIR NEC,4
'4291',(INJECT) LIG ESOPH VARIX (Begin 1980),4
'4292',ESOPHAGEAL DILATION,2
'4299',ESOPHAGEAL OPERATION NEC,2
'430 ',GASTROTOMY,4
'431 ',TEMP GASTROSTOMY(Begin 1980 End 1989),4
'4311',PERCU ENDOSC GASTROSTOMY (Begin 1989),2
'4319',OTHER GASTROSTOMY (Begin 1989),2
'432 ',PERM GASTROSTOMY(Begin 1980 End 1989),4
'433 ',PYLOROMYOTOMY,4
'4341',GASTRIC POLYPECTOMYS (Begin 1989),2
'4342',LOCAL GASTR EXCISION NEC,4
'4349',LOCAL GASTR DESTRUCT NEC,4
'435 ',PROXIMAL GASTRECTOMY,4
'436 ',DISTAL GASTRECTOMY,4
'437 ',PART GASTREC W JEJ ANAST,4
'4381',PART GAST W JEJ TRANSPOS,4
'4382',LAP VERTICAL GASTRECTOMY (Begin 2011),4
'4389',PARTIAL GASTRECTOMY NEC,4
'4391',TOT GAST W INTES INTERPO,4
'4399',TOTAL GASTRECTOMY NEC,4
'4400',VAGOTOMY NOS,4
'4401',TRUNCAL VAGOTOMY,4
'4402',HIGHLY SELECT VAGOTOMY,4
'4403',SELECTIVE VAGOTOMY NEC,4
'4411',TRANSABDOMIN GASTROSCOPY,3
'4412',GASTROSCOPY THRU STOMA,1
'4413',GASTROSCOPY NEC,1
'4414',CLOSED GASTRIC BIOPSY,1
'4415',OPEN GASTRIC BIOPSY,3
'4419',GASTRIC DIAGNOS PROC NEC,1
'442 ',PYLOROPLASTY (Begin 1980 End 1986),4
'4421',DILATE PYLORUS INCISION (Begin 1986),4
'4422',ENDOSCOP DILATE PYLORUS (Begin 1986),2
'4429',OTHER PYLOROPLASTY (Begin 1986),4
'4431',HIGH GASTRIC BYPASS,4
'4432',PERCUTANEOUS GASTROJEJUNOSTO (Begin 2001),4
'4438',LAP GASTROENTEROSTOMY (Begin 2004),4
'4439',GASTROENTEROSTOMY NEC,4
'4440',SUTURE PEPTIC ULCER NOS,4
'4441',SUT GASTRIC ULCER SITE,4
'4442',SUTURE DUODEN ULCER SITE,4
'4443',ENDOSC CONTROL GAST HEM (Begin 1989),2
'4444',TRANSCATH EMBO GAST HEM (Begin 1989),2
'4449',OTHER CONTROL GAST HEM (Begin 1989),2
'445 ',REVISION GASTRIC ANASTOM,4
'4461',SUTURE GASTRIC LACERAT,4
'4462',GASTROSTOMY CLOSURE,2
'4463',CLOSE GASTRIC FISTUL NEC,4
'4464',GASTROPEXY,4
'4465',ESOPHAGOGASTROPLASTY,4
'4466',CREAT ESOPHAGASTR SPHINC,4
'4467',LAP CREAT ESOPH SPHINCT (Begin 2004),4
'4468',LAPAROSCOP GASTROPLASTY (Begin 2004),4
'4469',GASTRIC REPAIR NEC,4
'4491',LIGATE GASTRIC VARICES,4
'4492',INTRAOP GASTRIC MANIPUL,4
'4493',INSERT GASTRIC BUBBLE (Begin 1986),2
'4494',REMOVE GASTRIC BUBBLE (Begin 1986),2
'4495',LAP GASTRIC RESTRIC PROC (Begin 2004),4
'4496',LAP REV GAST RESTRI PROC (Begin 2004),4
'4497',LAP REM GAST RESTRIC DEV (Begin 2004),4
'4498',ADJUST GAST RESTRICT DEV (Begin 2004),4
'4499',GASTRIC OPERATION NEC,4
'4500',INTESTINAL INCISION NOS,4
'4501',DUODENAL INCISION,4
'4502',SMALL BOWEL INCISION NEC,4
'4503',LARGE BOWEL INCISION,4
'4511',TRANSAB SM BOWEL ENDOSC,3
'4512',ENDOSC SM BOWEL THRU ST,1
'4513',SM BOWEL ENDOSCOPY NEC,1
'4514',CLOS SMALL BOWEL BIOPSY,1
'4515',OPEN SMALL BOWEL BIOPSY,3
'4516',EGD WITH CLOSED BIOPSY (Begin 1988),1
'4519',SM BOWEL DX PROC NEC,1
'4521',TRANSAB LG BOWEL ENDOSC,3
'4522',ENDOSC LG BOWEL THRU ST,1
'4523',COLONOSCOPY,1
'4524',OTH ENDOSCOPY LG BOWEL (Begin 1980),1
'4525',CLOS LARGE BOWEL BIOPSY,1
'4526',OPEN LARGE BOWEL BIOPSY,3
'4527',INTESTINAL BIOPSY NOS,1
'4528',LG BOWEL DX PROCED NEC,1
'4529',BOWEL DIAGNOST PROC NEC,1
'4530',ENDOSC DESTRU DUODEN LES (Begin 1989),2
'4531',(LOC) EXCISE DUODENUM LES (Begin 1980),4
'4532',DESTRUCT DUODEN LES NEC,4
'4533',LOCAL EXCIS SM BOWEL NEC,4
'4534',DESTR SM BOWEL LES NEC,4
'4541',EXCIS LG INTESTINE LES,4
'4542',ENDO POLPECTOMY LRGE INT (Begin 1988),2
'4543',ENDOSC DESTRU LG INT LES (Begin 1989),2
'4549',DESTRUC LG BOWEL LES NEC,4
'4550',INTEST SEG ISOLAT NOS,4
'4551',SM BOWEL SEGMENT ISOLAT,4
'4552',LG BOWEL SEGMENT ISOLAT,4
'4561',MULT SEG SM BOWEL EXCIS,4
'4562',PART SM BOWEL RESECT NEC,4
'4563',TOTAL REMOVAL SM BOWEL,4
'4571',MULT SEG LG BOWEL EXCIS,4
'4572',CECECTOMY,4
'4573',RIGHT HEMICOLECTOMY,4
'4574',TRANSVERSE COLON RESECT,4
'4575',LEFT HEMICOLECTOMY (Begin 1988),4
'4576',SIGMOIDECTOMY,4
'4579',PART LG BOWEL EXCIS NEC,4
'458 ',TOT INTRAABD COLECTOMY (end 2008),4
'4581',LAP TOT INTR-AB COLECTMY (begin 2008),4
'4582',OP TOT INTR-ABD COLECTMY (begin 2008),4
'4583',TOT ABD COLECTMY NEC/NOS (begin 2008),4
'4590',INTESTINAL ANASTOM NOS,4
'4591',SMTOSM BOWEL ANASTOM,4
'4592',SM BOWELRECT STUMP ANAS,4
'4593',SMALLTOLARGE BOWEL NEC,4
'4594',LGTOLG BOWEL ANASTOM,4
'4595',ANAL ANASTOMOSIS (Begin 1987),4
'4601',SM BOWEL EXTERIORIZATION,4
'4602',RESECT EXT SEG SM BOWEL,4
'4603',LG BOWEL EXTERIORIZATION,4
'4604',RESECT EXT SEG LG BOWEL,4
'4610',COLOSTOMY NOS,4
'4611',TEMPORARY COLOSTOMY,4
'4612',PERM MAGNETIC COLOSTOMY (End 1992),4
'4613',PERMANENT COLOSTOMY NEC (Begin 1992),4
'4614',DELAY OPENING COLOSTOMY,2
'4620',ILEOSTOMY NOS,4
'4621',TEMPORARY ILEOSTOMY,4
'4622',CONTINENT ILEOSTOMY,4
'4623',PERMANENT ILEOSTOMY NEC,4
'4624',DELAY OPENING ILEOSTOMY,2
'4631',DELAY OPENING ENTEROSTOM,2
'4632',PERCU ENDOSC JEJUNOSTOMY (Begin 1989),2
'4639',ENTEROSTOMY NEC,2
'4640',INTEST STOMA REVIS NOS,4
'4641',SM BOWEL STOMA REVISION,4
'4642',PERICOLOST HERNIA REPAIR,4
'4643',LG BOWEL STOMA REVIS NEC,4
'4650',INTEST STOMA CLOSURE NOS,4
'4651',SM BOWEL STOMA CLOSURE,4
'4652',LG BOWEL STOMA CLOSURE,4
'4660',INTESTINAL FIXATION NOS,4
'4661',SM BOWELABD WALL FIXAT,4
'4662',SMALL BOWEL FIXATION NEC,4
'4663',LG BOWELABD WALL FIXAT,4
'4664',LARGE BOWEL FIXATION NEC,4
'4671',DUODENAL LACERAT SUTURE,4
'4672',DUODENAL FISTULA CLOSURE,4
'4673',SMALL BOWEL SUTURE NEC,4
'4674',CLOSE SM BOWEL FIST NEC,4
'4675',SUTURE LG BOWEL LACERAT,4
'4676',CLOSE LG BOWEL FISTULA,4
'4679',REPAIR OF INTESTINE NEC,4
'4680',INTRAAB BOWEL MANIP NOS,4
'4681',INTRAABD SM BOWEL MANIP,4
'4682',INTRAABD LG BOWEL MANIP,4
'4685',DILATION OF INTESTINE (Begin 1989),2
'4686',Endo insrt colonic stent (begin 2009),2
'4687',Insert colonic stent NEC (begin 2009),2
'4691',MYOTOMY OF SIGMOID COLON,4
'4692',MYOTOMY OF COLON NEC,4
'4693',REVISE SM BOWEL ANASTOM,4
'4694',REVISE LG BOWEL ANASTOM,4
'4695',LOCAL SM BOWEL PERFUSION,2
'4696',LOCAL LG BOWEL PERFUSION,2
'4697',TRANSPLANT OF INTESTINE (Begin 2000),4
'4699',INTESTINAL OP NEC,4
'470 ',APPENDECTOMY (End 1996),4
'4701',LAPAROSCOP APPENDECT (Begin 1996),4
'4709',OTHER APPENDECT (Begin 1996),4
'471 ',INCIDENTAL APPENDECTOMY (End 1996),4
'4711',LAPAROSCOP INCID APPEND (Begin 1996),4
'4719',OTH INCID APPEND (Begin 1996),4
'472 ',DRAIN APPENDICEAL ABSC,4
'4791',APPENDICOSTOMY,4
'4792',CLOSE APPENDICEAL FISTUL,4
'4799',APPENDICEAL OPS NEC,4
'480 ',PROTOMY,4
'481 ',PROSTOMY,4
'4821',TRANSAB PROSIGMOIDOSC,3
'4822',PROSIGMOIDOSC THRU ST,1
'4823',(OTH) PROSIGMOIDOSCOPY (Begin 1980),1
'4824',CLOSED RECTAL BX,1
'4825',OPEN RECTAL BX,3
'4826',PERIRECTAL TISSUE BIOPSY,1
'4829',RECT/PERIRECT DX OP NEC,1
'4831',RAD ELECTROCOAGRECT LES,2
'4832',ELECTROCOAG RECT LES NEC,2
'4833',LASER DESTRUC RECTAL LES,2
'4834',CRYOSURG DESTR RECT LES,2
'4835',LOCAL EXCIS RECTAL LES,4
'4836',ENDOSCOP POLYPECT RECTUM (Begin 1995),2
'4840',PULL-THRU RES RECTUM NOS (begin 2008),4
'4841',SOAVE SUBMUC RECT RESECT,4
'4842',LAP PULL-THRU RES RECTUM (begin 2008),4
'4843',OPN PULL-THRU RES RECTUM (begin 2008),4
'4849',PULLTHRU RECT RESEC NEC,4
'485 ',ABDPERINEAL RECT RESECT (end 2008),4
'4850',ABDPERNEAL RES RECTM NOS (begin 2008),4
'4851',LAP ABDPERNEAL RESC REC (begin 2008),4
'4852',OPN ABDPERNEAL RESC REC (begin 2008),4
'4859',ABDPERNEAL RESC RECT NEC (begin 2008),4
'4861',TRANSSAC RECTOSIGMOIDECT,4
'4862',ANT RECT RESECT W COLOST,4
'4863',ANTERIOR RECT RESECT NEC,4
'4864',POSTERIOR RECT RESECTION,4
'4865',DUHAMEL RECTAL RESECTION,4
'4866',HARTMANN RESECTION RECTUM (Begin 1980 End 1988),4
'4869',RECTAL RESECTION NEC,4
'4871',SUTURE OF RECTAL LACER,4
'4872',CLOSURE OF PROSTOMY,4
'4873',CLOSE RECTAL FIST NEC,4
'4874',RECTORECTOSTOMY,4
'4875',ABDOMINAL PROPEXY,4
'4876',PROPEXY NEC,4
'4879',REPAIR OF RECTUM NEC,4
'4881',PERIRECTAL INCISION,4
'4882',PERIRECTAL EXCISION,4
'4891',INCIS RECTAL STRICTURE,4
'4892',ANORECTAL MYOMECTOMY,4
'4893',REPAIR PERIRECT FISTULA,4
'4899',RECTAL PERIRECT OP NEC,4
'4901',INCIS PERIANAL ABSCESS,4
'4902',PERIANAL INCISION NEC,4
'4903',EXCIS PERIANAL SKIN TAG,2
'4904',PERIANAL EXCISION NEC,4
'4911',ANAL FISTULOTOMY,4
'4912',ANAL FISTULECTOMY,4
'4921',ANOSCOPY,1
'4922',PERIANAL BIOPSY,1
'4923',ANAL BIOPSY,1
'4929',ANAL/PERIAN DX PROC NEC,1
'493 ',LOCAL EXCIS DEST ANUS LES (Begin 1980 End 1989),4
'4931',ENDOSC DESTRUC ANUS LES (Begin 1989),2
'4939',OTHER DESTRUC ANUS LES (Begin 1989),4
'4941',HEMORRHOID REDUCTION,2
'4942',HEMORRHOID INJECTION,2
'4943',HEMORRHOID CAUTERIZAT,2
'4944',HEMORRHOID CRYOTHERAPY,4
'4945',HEMORRHOID LIGATION,4
'4946',HEMORRHOIDECTOMY,4
'4947',HEMORRHOID EVACUATION,2
'4949',HEMORRHOID PROCEDURE NEC,4
'4951',LEFT LAT SPHINCTEROTOMY,4
'4952',POST SPHINCTEROTOMY,4
'4959',ANAL SPHINCTEROTOMY NEC,4
'496 ',EXCISION OF ANUS,4
'4971',SUTURE ANAL LACERATION,4
'4972',ANAL CERCLAGE,4
'4973',CLOSURE OF ANAL FISTULA,4
'4974',GRACILIS MUSC TRANSPLAN,4
'4975',IMPL/REV OF ARTIFICIAL ANAL (Begin 2002),4
'4976',REMOVAL OF ARTIFICIAL ANAL (Begin 2002),4
'4979',ANAL SPHINCT REPAIR NEC,4
'4991',INCISION OF ANAL SEPTUM,4
'4992',INSERT SUBQ ANAL STIMUL,4
'4993',ANAL INCISION NEC,4
'4994',REDUCTION ANAL PROLAPSE,4
'4995',CONTROL ANAL HEMORRHAGE,4
'4999',ANAL OPERATION NEC,4
'500 ',HEPATOTOMY,4
'5011',CLOSED LIVER BIOPSY,1
'5012',OPEN LIVER BIOPSY,3
'5013',TRANSJUGULAR LIVER BX (Begin 2007),1
'5014',LAPAROSCOPIC LIVER BX (Begin 2007),3
'5019',HEPATIC DX PROC NEC,3
'5021',MARSUPIALIZAT LIVER LES,4
'5022',PARTIAL HEPATECTOMY,4
'5023',OPN ABLTN LIVER LES/TISS (Begin 2006),4
'5024',PERC ABLTN LIVER LES/TIS (Begin 2006),4
'5025',LAP ABLTN LIVER LES/TISS (Begin 2006),4
'5026',ABLTN LIVER LES/TISS NEC (Begin 2006),4
'5029',DESTRUC HEPATIC LES NEC,4
'503 ',HEPATIC LOBECTOMY,4
'504 ',TOTAL HEPATECTOMY,4
'5051',AUXILIARY LIVER TRANSPL,4
'5059',LIVER TRANSPLANT NEC,4
'5061',CLOSURE LIVER LACERAT,4
'5069',LIVER REPAIR NEC,4
'5091',PERCUTAN LIVER ASPIRAT,2
'5092',EXTRACORPOR HEPAT ASSIS,2
'5093',LOCAL PERFUSION LIVER,2
'5094',HEPATIC INJECTION NEC,2
'5099',LIVER OPERATION NEC,2
'5101',PERCUTAN ASPIRATION GB,2
'5102',TROCAR CHOLECYSTOSTOMY,4
'5103',CHOLECYSTOSTOMY NEC,4
'5104',CHOLECYSTOTOMY NEC,4
'5110',ENDOSC RETRO CHOLANGIOPA (Begin 1989),1
'5111',ENDOSC (BILIARY TRACT) (Begin 1989),1
'5112',(CLOSED) BX GB/BILE DUCT,1
'5113',OPEN BIL TRCT BX,3
'5114',CLO ENDOSC BX BILE DUCT (Begin 1989),1
